twitter_handle_id,degree_total,degree_in,degree_out,pr,adj_tri
1.33772e+18,1,1,0,2.292890706093395e-4,0
60316183,1,1,0,2.292890706093395e-4,0
1.24147e+18,2,2,0,2.935461479546202e-4,0
9.45379e+17,1,1,0,2.292890706093395e-4,0
545442771,1,1,0,2.4618730654198345e-4,0
1.10838e+18,1,1,0,2.8585600569072114e-4,0
2220175646,1,1,0,3.711113056335678e-4,0
2443257276,1,1,0,2.4746049569040183e-4,0
350703561,1,1,0,2.4746049569040183e-4,0
50879493,1,1,0,2.4746049569040183e-4,0
2312796378,1,1,0,2.4746049569040183e-4,0
30977026,2,2,0,0.0013891275499425555,0
1463008550,1,1,0,2.970322948178612e-4,0
233282973,1,1,0,3.711113056335678e-4,0
485248169,1,1,0,2.8575338347200033e-4,0
1.24458e+18,1,1,0,2.8585600569072114e-4,0
1314952094,2,2,0,8.548639685788404e-4,0
1.34769e+18,1,1,0,7.93054082908667e-4,0
4001539815,1,1,0,4.6048727840698533e-4,0
964372705,1,1,0,2.5085074314943484e-4,0
18190227,1,1,0,3.50649625129784e-4,0
313371249,1,1,0,3.50649625129784e-4,0
2541880202,1,1,0,3.50649625129784e-4,0
2817123964,1,1,0,3.711113056335678e-4,0
17019970,1,1,0,3.711113056335678e-4,0
9.49231e+17,2,2,0,4.19354711652749e-4,0
14570995,1,1,0,3.711113056335678e-4,0
1.36969e+18,2,2,0,3.468897123336436e-4,0
221241777,1,1,0,4.0228276702691405e-4,0
1.13058e+18,1,1,0,4.47524079358464e-4,0
7.82976e+17,2,2,0,6.735435386347962e-4,0
189901822,1,1,0,2.2191453073358615e-4,0
7.14491e+17,1,1,0,0.001214410086239576,0
487437535,1,1,0,4.2910860797275996e-4,0
1.28184e+18,2,2,0,4.563666055764144e-4,0
2853639688,1,1,0,3.711113056335678e-4,0
1.0246e+18,3,3,0,7.212220118938019e-4,0
9.51702e+17,1,1,0,3.711113056335678e-4,0
1.144e+18,1,1,0,4.3187728509334e-4,0
1.01536e+18,2,2,0,3.164361562732548e-4,0
8.72466e+17,1,1,0,3.711113056335678e-4,0
1.25884e+18,1,1,0,4.043483916783603e-4,0
14357093,1,1,0,3.087197865771125e-4,0
1.18051e+18,1,1,0,2.585085219206834e-4,0
1.00995e+18,1,1,0,4.6844946638487745e-4,0
1.28105e+18,1,1,0,2.726682874598292e-4,0
39815093,1,1,0,2.580938574333488e-4,0
8.96952e+17,1,1,0,2.580938574333488e-4,0
21593576,1,1,0,2.633455407836071e-4,0
26274851,1,1,0,2.633455407836071e-4,0
2795504851,1,1,0,7.911019503688248e-4,0
253806022,1,1,0,2.6507114900565555e-4,0
7.81189e+17,1,1,0,2.9538130844245126e-4,0
1.09604e+18,1,1,0,2.432283557192978e-4,0
9.44514e+17,1,1,0,4.6757350471698955e-4,0
9.34806e+17,1,1,0,4.204691146305706e-4,0
497665213,1,1,0,3.072209263877947e-4,0
