,time,open,close,high,low,volume,id_date
15319,2021-03-11 11:47:00+08:00,55876.0,55900.0,55959.853208,55858.0,4.13027614,20210311
15318,2021-03-11 11:48:00+08:00,55900.0,55900.0,55908.0,55866.0,0.4603,20210311
15317,2021-03-11 11:49:00+08:00,55933.0,55980.0,55989.0,55933.0,2.30618773,20210311
15316,2021-03-11 11:50:00+08:00,55960.4263056,55910.0,55983.0,55892.0,0.039,20210311
15315,2021-03-11 11:51:00+08:00,55903.0,55877.0,55911.0,55877.0,0.03233868,20210311
15314,2021-03-11 11:52:00+08:00,55875.987195,55918.0,55959.853208,55865.885096,1.5261187299999999,20210311
15313,2021-03-11 11:53:00+08:00,55918.0,55981.0,55981.0,55918.0,0.93544248,20210311
15312,2021-03-11 11:54:00+08:00,55975.0,55967.0,55989.0,55959.0,1.48000248,20210311
15311,2021-03-11 11:55:00+08:00,55959.0,55962.0,55981.88774137,55959.0,0.37822256,20210311
15310,2021-03-11 11:56:00+08:00,55959.0,55937.0,55959.0,55890.33597907,1.0157555,20210311
15309,2021-03-11 11:57:00+08:00,55937.0,55919.764333,55971.46268615,55919.764333,0.572,20210311
15308,2021-03-11 11:58:00+08:00,55919.0,55921.97830226,55922.0,55906.0,0.03038687,20210311
15307,2021-03-11 11:59:00+08:00,55932.0,55998.0,56032.0,55932.0,0.65981394,20210311
15306,2021-03-11 12:00:00+08:00,56008.0,55890.0,56008.0,55890.0,0.53589999,20210311
15426,2021-03-11 12:01:00+08:00,55890.0,55900.0,55912.0,55869.0,0.18313373,20210311
15425,2021-03-11 12:02:00+08:00,55901.0,55900.0,55901.07333736,55900.0,0.06806783,20210311
15424,2021-03-11 12:03:00+08:00,55900.0,55839.0,55901.0,55830.0,0.96533926,20210311
15423,2021-03-11 12:04:00+08:00,55831.0,55757.0,55831.0,55751.02446672,2.23013176,20210311
15422,2021-03-11 12:05:00+08:00,55753.0,55730.0,55763.0,55729.0,1.09892603,20210311
15421,2021-03-11 12:06:00+08:00,55739.85196736,55772.0,55826.0,55739.85196736,0.48187381,20210311
15420,2021-03-11 12:07:00+08:00,55777.0,55734.27895744,55777.0,55734.27895744,1.4592,20210311
15419,2021-03-11 12:08:00+08:00,55733.0,55669.0,55753.0,55655.0,6.51684781,20210311
15418,2021-03-11 12:09:00+08:00,55658.0,55678.0,55699.0,55658.0,0.32024645,20210311
15417,2021-03-11 12:10:00+08:00,55684.0,55748.0,55750.0,55684.0,0.69894299,20210311
15416,2021-03-11 12:11:00+08:00,55751.02446672,55814.25859394,55814.25859394,55751.02446672,1.0209466600000001,20210311
15415,2021-03-11 12:12:00+08:00,55815.0,55947.207264,55947.207264,55815.0,0.78380644,20210311
15414,2021-03-11 12:13:00+08:00,55947.44658688,55982.0,55989.0,55920.0,3.20464461,20210311
15413,2021-03-11 12:14:00+08:00,55976.0,56070.05280512,56070.05280512,55976.0,0.78856464,20210311
15412,2021-03-11 12:15:00+08:00,56069.0,56051.0,56080.0,56001.0,5.78260514,20210311
